Source,Target,weight,Label
Saturday-Threatening Phone Calls/Letters,Sunday-Criminal Threats - No Weapon Displayed,1,Saturday-Threatening Phone Calls/Letters
Saturday-Threatening Phone Calls/Letters,"Sunday-Rape, Forcible",1,Saturday-Threatening Phone Calls/Letters
Saturday-Threatening Phone Calls/Letters,Sunday-Burglary,2,Saturday-Threatening Phone Calls/Letters
Sunday-Other Miscellaneous Crime,Monday-Criminal Threats - No Weapon Displayed,5,Sunday-Other Miscellaneous Crime
Sunday-Other Miscellaneous Crime,Monday-Burglary From Vehicle,7,Sunday-Other Miscellaneous Crime
Sunday-Other Miscellaneous Crime,Monday-Theft From Motor Vehicle - Grand ($400 And Over),1,Sunday-Other Miscellaneous Crime
Sunday-Criminal Threats - No Weapon Displayed,Monday-Vandalism - Misdeameanor ($399 Or Under),11,Sunday-Criminal Threats - No Weapon Displayed
Sunday-Criminal Threats - No Weapon Displayed,Monday-Burglary,26,Sunday-Criminal Threats - No Weapon Displayed
"Sunday-Rape, Forcible",Monday-Vandalism - Misdeameanor ($399 Or Under),1,"Sunday-Rape, Forcible"
"Sunday-Rape, Forcible",Monday-Criminal Threats - No Weapon Displayed,2,"Sunday-Rape, Forcible"
"Sunday-Rape, Forcible",Monday-Burglary,6,"Sunday-Rape, Forcible"
"Sunday-Rape, Forcible",Monday-Burglary From Vehicle,4,"Sunday-Rape, Forcible"
"Sunday-Rape, Forcible",Monday-Theft From Motor Vehicle - Grand ($400 And Over),1,"Sunday-Rape, Forcible"
Sunday-Burglary,Monday-Theft From Motor Vehicle - Grand ($400 And Over),8,Sunday-Burglary
Monday-Vandalism - Misdeameanor ($399 Or Under),Tuesday-Theft Plain - Petty ($950 & Under),50,Monday-Vandalism - Misdeameanor ($399 Or Under)
Monday-Vandalism - Misdeameanor ($399 Or Under),Tuesday-Kidnapping,1,Monday-Vandalism - Misdeameanor ($399 Or Under)
Monday-Criminal Threats - No Weapon Displayed,Tuesday-Kidnapping,1,Monday-Criminal Threats - No Weapon Displayed
Monday-Burglary,Tuesday-Kidnapping,1,Monday-Burglary
Monday-Burglary From Vehicle,Tuesday-Kidnapping,2,Monday-Burglary From Vehicle
Monday-Theft From Motor Vehicle - Grand ($400 And Over),Tuesday-Theft Plain - Petty ($950 & Under),11,Monday-Theft From Motor Vehicle - Grand ($400 And Over)
Monday-Theft From Motor Vehicle - Grand ($400 And Over),Tuesday-Kidnapping,1,Monday-Theft From Motor Vehicle - Grand ($400 And Over)
Tuesday-Theft Plain - Petty ($950 & Under),"Wednesday-Burglary From Vehicle, Attempted",1,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Theft Plain - Petty ($950 & Under),Wednesday-Intimate Partner - Simple Assault,32,Tuesday-Theft Plain - Petty ($950 & Under)
Tuesday-Battery - Simple Assault,Wednesday-Violation Of Court Order,5,Tuesday-Battery - Simple Assault
Tuesday-Battery - Simple Assault,"Wednesday-Burglary From Vehicle, Attempted",1,Tuesday-Battery - Simple Assault
Tuesday-Burglary From Vehicle,"Wednesday-Burglary From Vehicle, Attempted",2,Tuesday-Burglary From Vehicle
Tuesday-Kidnapping,Wednesday-Violation Of Court Order,1,Tuesday-Kidnapping
Tuesday-Kidnapping,"Wednesday-Burglary From Vehicle, Attempted",1,Tuesday-Kidnapping
Tuesday-Kidnapping,Wednesday-Intimate Partner - Simple Assault,2,Tuesday-Kidnapping
Tuesday-Kidnapping,Wednesday-Battery - Simple Assault,3,Tuesday-Kidnapping
Tuesday-Kidnapping,Wednesday-Criminal Threats - No Weapon Displayed,2,Tuesday-Kidnapping
Tuesday-Kidnapping,Wednesday-Burglary,5,Tuesday-Kidnapping
Tuesday-Kidnapping,"Wednesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",2,Tuesday-Kidnapping
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Vandalism - Misdeameanor ($399 Or Under),1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted","Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Burglary,3,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Theft From Motor Vehicle - Petty ($950 & Under),1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Battery - Simple Assault,1,"Wednesday-Burglary From Vehicle, Attempted"
Wednesday-Criminal Threats - No Weapon Displayed,Thursday-Theft From Motor Vehicle - Petty ($950 & Under),17,Wednesday-Criminal Threats - No Weapon Displayed
Thursday-Vandalism - Misdeameanor ($399 Or Under),Friday-Intimate Partner - Simple Assault,30,Thursday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Vandalism - Misdeameanor ($399 Or Under),Friday-Child Annoying (17Yrs & Under),2,Thursday-Vandalism - Misdeameanor ($399 Or Under)
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Friday-Vehicle - Stolen,51,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Friday-Child Annoying (17Yrs & Under),3,"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Thursday-Burglary,Friday-Child Annoying (17Yrs & Under),3,Thursday-Burglary
Thursday-Theft From Motor Vehicle - Petty ($950 & Under),Friday-Criminal Threats - No Weapon Displayed,10,Thursday-Theft From Motor Vehicle - Petty ($950 & Under)
Thursday-Theft From Motor Vehicle - Petty ($950 & Under),Friday-Child Annoying (17Yrs & Under),2,Thursday-Theft From Motor Vehicle - Petty ($950 & Under)
Thursday-Battery - Simple Assault,Friday-Child Annoying (17Yrs & Under),9,Thursday-Battery - Simple Assault
Friday-Vehicle - Stolen,Saturday-Kidnapping,2,Friday-Vehicle - Stolen
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Kidnapping,2,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Friday-Battery - Simple Assault,Saturday-Kidnapping,2,Friday-Battery - Simple Assault
Friday-Burglary From Vehicle,Saturday-Kidnapping,2,Friday-Burglary From Vehicle
Friday-Theft Of Identity,Saturday-Kidnapping,3,Friday-Theft Of Identity
Friday-Intimate Partner - Simple Assault,Saturday-Kidnapping,5,Friday-Intimate Partner - Simple Assault
Friday-Criminal Threats - No Weapon Displayed,Saturday-Kidnapping,1,Friday-Criminal Threats - No Weapon Displayed
Friday-Child Annoying (17Yrs & Under),Saturday-Battery - Simple Assault,5,Friday-Child Annoying (17Yrs & Under)
Friday-Child Annoying (17Yrs & Under),Saturday-Kidnapping,1,Friday-Child Annoying (17Yrs & Under)
Saturday-Battery - Simple Assault,Sunday-Child Abuse (Physical) - Simple Assault,3,Saturday-Battery - Simple Assault
Saturday-Kidnapping,Sunday-Criminal Threats - No Weapon Displayed,1,Saturday-Kidnapping
Saturday-Kidnapping,Sunday-Burglary From Vehicle,3,Saturday-Kidnapping
Saturday-Kidnapping,Sunday-Child Abuse (Physical) - Simple Assault,1,Saturday-Kidnapping
Saturday-Kidnapping,Sunday-Battery - Simple Assault,3,Saturday-Kidnapping
Saturday-Kidnapping,Sunday-Burglary,2,Saturday-Kidnapping
Sunday-Criminal Threats - No Weapon Displayed,Monday-Arson,2,Sunday-Criminal Threats - No Weapon Displayed
Sunday-Criminal Threats - No Weapon Displayed,Monday-Battery With Sexual Contact,2,Sunday-Criminal Threats - No Weapon Displayed
Sunday-Burglary From Vehicle,Monday-Arson,5,Sunday-Burglary From Vehicle
Sunday-Burglary From Vehicle,Monday-Battery With Sexual Contact,5,Sunday-Burglary From Vehicle
Sunday-Child Abuse (Physical) - Simple Assault,Monday-Theft Of Identity,3,Sunday-Child Abuse (Physical) - Simple Assault
Sunday-Child Abuse (Physical) - Simple Assault,Monday-Arson,1,Sunday-Child Abuse (Physical) - Simple Assault
Sunday-Child Abuse (Physical) - Simple Assault,Monday-Battery With Sexual Contact,1,Sunday-Child Abuse (Physical) - Simple Assault
Sunday-Child Abuse (Physical) - Simple Assault,Monday-Vehicle - Stolen,3,Sunday-Child Abuse (Physical) - Simple Assault
Sunday-Child Abuse (Physical) - Simple Assault,Monday-Burglary From Vehicle,6,Sunday-Child Abuse (Physical) - Simple Assault
Sunday-Child Abuse (Physical) - Simple Assault,Monday-Theft Plain - Petty ($950 & Under),4,Sunday-Child Abuse (Physical) - Simple Assault
Sunday-Battery - Simple Assault,Monday-Arson,5,Sunday-Battery - Simple Assault
Sunday-Battery - Simple Assault,Monday-Battery With Sexual Contact,5,Sunday-Battery - Simple Assault
Sunday-Burglary,Monday-Arson,3,Sunday-Burglary
Sunday-Burglary,Monday-Battery With Sexual Contact,4,Sunday-Burglary
Monday-Theft Of Identity,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",42,Monday-Theft Of Identity
Monday-Arson,Tuesday-Criminal Threats - No Weapon Displayed,1,Monday-Arson
Monday-Arson,"Tuesday-Assault With Deadly Weapon, Aggravated Assault",3,Monday-Arson
Monday-Arson,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",4,Monday-Arson
Monday-Arson,Tuesday-Burglary From Vehicle,5,Monday-Arson
Monday-Battery With Sexual Contact,Tuesday-Criminal Threats - No Weapon Displayed,1,Monday-Battery With Sexual Contact
Monday-Battery With Sexual Contact,"Tuesday-Assault With Deadly Weapon, Aggravated Assault",1,Monday-Battery With Sexual Contact
Monday-Battery With Sexual Contact,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",4,Monday-Battery With Sexual Contact
Monday-Battery With Sexual Contact,Tuesday-Burglary From Vehicle,4,Monday-Battery With Sexual Contact
Tuesday-Criminal Threats - No Weapon Displayed,"Wednesday-Burglary From Vehicle, Attempted",1,Tuesday-Criminal Threats - No Weapon Displayed
Tuesday-Criminal Threats - No Weapon Displayed,Wednesday-Intimate Partner - Simple Assault,13,Tuesday-Criminal Threats - No Weapon Displayed
Tuesday-Criminal Threats - No Weapon Displayed,Wednesday-Theft Plain - Petty ($950 & Under),22,Tuesday-Criminal Threats - No Weapon Displayed
"Tuesday-Assault With Deadly Weapon, Aggravated Assault","Wednesday-Burglary From Vehicle, Attempted",1,"Tuesday-Assault With Deadly Weapon, Aggravated Assault"
"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Wednesday-Burglary From Vehicle, Attempted",1,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Wednesday-Battery - Simple Assault,Thursday-Child Neglect (See 300 W.I.C.),4,Wednesday-Battery - Simple Assault
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Theft Of Identity,1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Child Neglect (See 300 W.I.C.),1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted","Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Document Forgery / Stolen Felony,1,"Wednesday-Burglary From Vehicle, Attempted"
"Wednesday-Burglary From Vehicle, Attempted",Thursday-Theft Plain - Petty ($950 & Under),1,"Wednesday-Burglary From Vehicle, Attempted"
Wednesday-Vehicle - Stolen,Thursday-Child Neglect (See 300 W.I.C.),4,Wednesday-Vehicle - Stolen
Wednesday-Intimate Partner - Simple Assault,Thursday-Child Neglect (See 300 W.I.C.),1,Wednesday-Intimate Partner - Simple Assault
Wednesday-Intimate Partner - Simple Assault,Thursday-Document Forgery / Stolen Felony,11,Wednesday-Intimate Partner - Simple Assault
Wednesday-Theft Plain - Petty ($950 & Under),Thursday-Child Neglect (See 300 W.I.C.),2,Wednesday-Theft Plain - Petty ($950 & Under)
Wednesday-Criminal Threats - No Weapon Displayed,Thursday-Child Neglect (See 300 W.I.C.),2,Wednesday-Criminal Threats - No Weapon Displayed
Wednesday-Burglary From Vehicle,Thursday-Child Neglect (See 300 W.I.C.),2,Wednesday-Burglary From Vehicle
Wednesday-Burglary,Thursday-Child Neglect (See 300 W.I.C.),1,Wednesday-Burglary
Thursday-Child Neglect (See 300 W.I.C.),Friday-Theft Of Identity,2,Thursday-Child Neglect (See 300 W.I.C.)
Thursday-Child Neglect (See 300 W.I.C.),Friday-Intimate Partner - Simple Assault,2,Thursday-Child Neglect (See 300 W.I.C.)
Thursday-Child Neglect (See 300 W.I.C.),Friday-Theft From Motor Vehicle - Grand ($400 And Over),1,Thursday-Child Neglect (See 300 W.I.C.)
Thursday-Child Neglect (See 300 W.I.C.),Friday-Vehicle - Stolen,1,Thursday-Child Neglect (See 300 W.I.C.)
Thursday-Child Neglect (See 300 W.I.C.),Friday-Burglary From Vehicle,3,Thursday-Child Neglect (See 300 W.I.C.)
Thursday-Child Neglect (See 300 W.I.C.),Friday-Battery - Simple Assault,5,Thursday-Child Neglect (See 300 W.I.C.)
Thursday-Document Forgery / Stolen Felony,Friday-Theft From Motor Vehicle - Grand ($400 And Over),2,Thursday-Document Forgery / Stolen Felony
Thursday-Document Forgery / Stolen Felony,Friday-Burglary From Vehicle,6,Thursday-Document Forgery / Stolen Felony
Thursday-Document Forgery / Stolen Felony,Friday-Battery - Simple Assault,22,Thursday-Document Forgery / Stolen Felony
Friday-Theft Of Identity,"Saturday-Rape, Forcible",7,Friday-Theft Of Identity
Friday-Intimate Partner - Simple Assault,Saturday-Criminal Threats - No Weapon Displayed,13,Friday-Intimate Partner - Simple Assault
Friday-Intimate Partner - Simple Assault,"Saturday-Rape, Forcible",7,Friday-Intimate Partner - Simple Assault
Friday-Theft From Motor Vehicle - Grand ($400 And Over),Saturday-Criminal Threats - No Weapon Displayed,5,Friday-Theft From Motor Vehicle - Grand ($400 And Over)
Friday-Theft From Motor Vehicle - Grand ($400 And Over),Saturday-Burglary From Vehicle,16,Friday-Theft From Motor Vehicle - Grand ($400 And Over)
Friday-Theft From Motor Vehicle - Grand ($400 And Over),"Saturday-Rape, Forcible",4,Friday-Theft From Motor Vehicle - Grand ($400 And Over)
Saturday-Criminal Threats - No Weapon Displayed,Sunday-Violation Of Temporary Restraining Order,2,Saturday-Criminal Threats - No Weapon Displayed
Saturday-Burglary From Vehicle,Sunday-Violation Of Temporary Restraining Order,2,Saturday-Burglary From Vehicle
Saturday-Vehicle - Stolen,Sunday-Violation Of Temporary Restraining Order,1,Saturday-Vehicle - Stolen
"Saturday-Rape, Forcible",Sunday-Robbery,5,"Saturday-Rape, Forcible"
"Saturday-Rape, Forcible",Sunday-Burglary From Vehicle,6,"Saturday-Rape, Forcible"
"Saturday-Rape, Forcible","Sunday-Assault With Deadly Weapon, Aggravated Assault",2,"Saturday-Rape, Forcible"
"Saturday-Rape, Forcible",Sunday-Violation Of Temporary Restraining Order,1,"Saturday-Rape, Forcible"
Sunday-Robbery,"Monday-Theft, Person",3,Sunday-Robbery
Sunday-Robbery,Monday-Prowler,1,Sunday-Robbery
Sunday-Burglary From Vehicle,"Monday-Theft, Person",12,Sunday-Burglary From Vehicle
Sunday-Burglary From Vehicle,Monday-Prowler,2,Sunday-Burglary From Vehicle
"Sunday-Assault With Deadly Weapon, Aggravated Assault","Monday-Theft, Person",6,"Sunday-Assault With Deadly Weapon, Aggravated Assault"
"Sunday-Assault With Deadly Weapon, Aggravated Assault",Monday-Prowler,3,"Sunday-Assault With Deadly Weapon, Aggravated Assault"
Sunday-Violation Of Temporary Restraining Order,Monday-Intimate Partner - Simple Assault,1,Sunday-Violation Of Temporary Restraining Order
Sunday-Violation Of Temporary Restraining Order,Monday-Vehicle - Stolen,1,Sunday-Violation Of Temporary Restraining Order
Sunday-Violation Of Temporary Restraining Order,"Monday-Theft, Person",1,Sunday-Violation Of Temporary Restraining Order
Sunday-Violation Of Temporary Restraining Order,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",1,Sunday-Violation Of Temporary Restraining Order
Sunday-Violation Of Temporary Restraining Order,Monday-Prowler,1,Sunday-Violation Of Temporary Restraining Order
Monday-Intimate Partner - Simple Assault,Tuesday-Burglary,36,Monday-Intimate Partner - Simple Assault
Monday-Intimate Partner - Simple Assault,Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),15,Monday-Intimate Partner - Simple Assault
Monday-Vehicle - Stolen,Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),13,Monday-Vehicle - Stolen
"Monday-Theft, Person",Tuesday-Vandalism - Misdeameanor ($399 Or Under),5,"Monday-Theft, Person"
"Monday-Theft, Person",Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),4,"Monday-Theft, Person"
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),9,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Monday-Prowler,Tuesday-Burglary,1,Monday-Prowler
Monday-Prowler,Tuesday-Vandalism - Misdeameanor ($399 Or Under),1,Monday-Prowler
Monday-Prowler,Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),1,Monday-Prowler
Tuesday-Vandalism - Misdeameanor ($399 Or Under),Wednesday-Robbery,29,Tuesday-Vandalism - Misdeameanor ($399 Or Under)
Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),Wednesday-Theft From Motor Vehicle - Petty ($950 & Under),9,Tuesday-Theft From Motor Vehicle - Grand ($400 And Over)
Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),Wednesday-Robbery,6,Tuesday-Theft From Motor Vehicle - Grand ($400 And Over)
Tuesday-Theft From Motor Vehicle - Grand ($400 And Over),Wednesday-Vandalism - Misdeameanor ($399 Or Under),11,Tuesday-Theft From Motor Vehicle - Grand ($400 And Over)
Wednesday-Theft From Motor Vehicle - Petty ($950 & Under),"Thursday-Assault With Deadly Weapon, Aggravated Assault",25,Wednesday-Theft From Motor Vehicle - Petty ($950 & Under)
Wednesday-Robbery,Thursday-Intimate Partner - Simple Assault,21,Wednesday-Robbery
Wednesday-Vandalism - Misdeameanor ($399 Or Under),Thursday-Vehicle - Stolen,37,Wednesday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Burglary From Vehicle,Friday-Cruelty To Animals,2,Thursday-Burglary From Vehicle
Thursday-Burglary From Vehicle,Friday-Kidnapping,4,Thursday-Burglary From Vehicle
Thursday-Burglary From Vehicle,Friday-Shots Fired At Inhabited Dwelling,2,Thursday-Burglary From Vehicle
"Thursday-Assault With Deadly Weapon, Aggravated Assault",Friday-Burglary,45,"Thursday-Assault With Deadly Weapon, Aggravated Assault"
"Thursday-Assault With Deadly Weapon, Aggravated Assault",Friday-Burglary From Vehicle,31,"Thursday-Assault With Deadly Weapon, Aggravated Assault"
"Thursday-Assault With Deadly Weapon, Aggravated Assault",Friday-Cruelty To Animals,1,"Thursday-Assault With Deadly Weapon, Aggravated Assault"
"Thursday-Assault With Deadly Weapon, Aggravated Assault",Friday-Kidnapping,3,"Thursday-Assault With Deadly Weapon, Aggravated Assault"
"Thursday-Assault With Deadly Weapon, Aggravated Assault",Friday-Shots Fired At Inhabited Dwelling,2,"Thursday-Assault With Deadly Weapon, Aggravated Assault"
Thursday-Vandalism - Misdeameanor ($399 Or Under),Friday-Cruelty To Animals,1,Thursday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Vandalism - Misdeameanor ($399 Or Under),Friday-Kidnapping,2,Thursday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Vandalism - Misdeameanor ($399 Or Under),Friday-Shots Fired At Inhabited Dwelling,1,Thursday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Vehicle - Stolen,Friday-Cruelty To Animals,1,Thursday-Vehicle - Stolen
Thursday-Vehicle - Stolen,Friday-Kidnapping,4,Thursday-Vehicle - Stolen
Thursday-Vehicle - Stolen,Friday-Shots Fired At Inhabited Dwelling,2,Thursday-Vehicle - Stolen
Thursday-Intimate Partner - Simple Assault,Friday-Cruelty To Animals,2,Thursday-Intimate Partner - Simple Assault
Thursday-Intimate Partner - Simple Assault,Friday-Kidnapping,4,Thursday-Intimate Partner - Simple Assault
Thursday-Intimate Partner - Simple Assault,Friday-Shots Fired At Inhabited Dwelling,1,Thursday-Intimate Partner - Simple Assault
Friday-Burglary,Saturday-Theft Plain - Petty ($950 & Under),83,Friday-Burglary
Friday-Cruelty To Animals,Saturday-Violation Of Court Order,1,Friday-Cruelty To Animals
Friday-Cruelty To Animals,Saturday-Theft Plain - Petty ($950 & Under),1,Friday-Cruelty To Animals
Friday-Cruelty To Animals,Saturday-Theft From Motor Vehicle - Grand ($400 And Over),1,Friday-Cruelty To Animals
Friday-Cruelty To Animals,Saturday-Theft Of Identity,1,Friday-Cruelty To Animals
Friday-Intimate Partner - Simple Assault,Saturday-Violation Of Court Order,6,Friday-Intimate Partner - Simple Assault
Friday-Intimate Partner - Simple Assault,Saturday-Theft Plain - Petty ($950 & Under),43,Friday-Intimate Partner - Simple Assault
Friday-Kidnapping,Saturday-Violation Of Court Order,1,Friday-Kidnapping
Friday-Kidnapping,Saturday-Theft Plain - Petty ($950 & Under),5,Friday-Kidnapping
Friday-Kidnapping,Saturday-Theft From Motor Vehicle - Grand ($400 And Over),1,Friday-Kidnapping
Friday-Kidnapping,Saturday-Theft Of Identity,2,Friday-Kidnapping
Friday-Shots Fired At Inhabited Dwelling,Saturday-Violation Of Court Order,1,Friday-Shots Fired At Inhabited Dwelling
Friday-Shots Fired At Inhabited Dwelling,Saturday-Theft Plain - Petty ($950 & Under),1,Friday-Shots Fired At Inhabited Dwelling
Friday-Shots Fired At Inhabited Dwelling,Saturday-Theft From Motor Vehicle - Grand ($400 And Over),1,Friday-Shots Fired At Inhabited Dwelling
Friday-Shots Fired At Inhabited Dwelling,Saturday-Theft Of Identity,1,Friday-Shots Fired At Inhabited Dwelling
Saturday-Violation Of Court Order,Sunday-Theft Plain - Petty ($950 & Under),5,Saturday-Violation Of Court Order
Saturday-Violation Of Court Order,Sunday-Robbery,5,Saturday-Violation Of Court Order
Saturday-Theft Plain - Petty ($950 & Under),Sunday-Other Miscellaneous Crime,11,Saturday-Theft Plain - Petty ($950 & Under)
Saturday-Theft Of Identity,Sunday-Other Miscellaneous Crime,3,Saturday-Theft Of Identity
Sunday-Theft Plain - Petty ($950 & Under),Monday-Shoplifting-Grand Theft ($950.01 & Over),1,Sunday-Theft Plain - Petty ($950 & Under)
Sunday-Theft Plain - Petty ($950 & Under),"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",30,Sunday-Theft Plain - Petty ($950 & Under)
Sunday-Other Miscellaneous Crime,Monday-Shoplifting-Grand Theft ($950.01 & Over),1,Sunday-Other Miscellaneous Crime
Sunday-Other Miscellaneous Crime,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",4,Sunday-Other Miscellaneous Crime
Sunday-Robbery,Monday-Shoplifting-Grand Theft ($950.01 & Over),1,Sunday-Robbery
Monday-Shoplifting-Grand Theft ($950.01 & Over),Tuesday-Theft Of Identity,3,Monday-Shoplifting-Grand Theft ($950.01 & Over)
Monday-Shoplifting-Grand Theft ($950.01 & Over),"Tuesday-Letters, Lewd",1,Monday-Shoplifting-Grand Theft ($950.01 & Over)
Monday-Shoplifting-Grand Theft ($950.01 & Over),Tuesday-Burglary From Vehicle,2,Monday-Shoplifting-Grand Theft ($950.01 & Over)
Monday-Shoplifting-Grand Theft ($950.01 & Over),"Tuesday-Burglary, Attempted",1,Monday-Shoplifting-Grand Theft ($950.01 & Over)
Monday-Shoplifting-Grand Theft ($950.01 & Over),"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",2,Monday-Shoplifting-Grand Theft ($950.01 & Over)
"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Tuesday-Burglary, Attempted",5,"Monday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Monday-Theft Plain - Petty ($950 & Under),"Tuesday-Burglary, Attempted",9,Monday-Theft Plain - Petty ($950 & Under)
Monday-Vandalism - Misdeameanor ($399 Or Under),"Tuesday-Burglary, Attempted",4,Monday-Vandalism - Misdeameanor ($399 Or Under)
Tuesday-Theft Of Identity,Wednesday-Shoplifting - Petty Theft ($950 & Under),19,Tuesday-Theft Of Identity
"Tuesday-Letters, Lewd",Wednesday-Shoplifting - Petty Theft ($950 & Under),3,"Tuesday-Letters, Lewd"
Tuesday-Burglary From Vehicle,Wednesday-Shoplifting - Petty Theft ($950 & Under),15,Tuesday-Burglary From Vehicle
"Tuesday-Burglary, Attempted",Wednesday-Theft Of Identity,10,"Tuesday-Burglary, Attempted"
"Tuesday-Burglary, Attempted",Wednesday-Shoplifting - Petty Theft ($950 & Under),1,"Tuesday-Burglary, Attempted"
"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Wednesday-Shoplifting - Petty Theft ($950 & Under),6,"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Wednesday-Theft Of Identity,Thursday-Child Annoying (17Yrs & Under),3,Wednesday-Theft Of Identity
Wednesday-Theft Of Identity,Thursday-Child Neglect (See 300 W.I.C.),1,Wednesday-Theft Of Identity
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Intimate Partner - Simple Assault,13,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Battery - Simple Assault,23,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Child Annoying (17Yrs & Under),1,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Child Neglect (See 300 W.I.C.),2,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Burglary,22,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Document Forgery / Stolen Felony,3,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),Thursday-Vehicle - Stolen,25,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Wednesday-Shoplifting - Petty Theft ($950 & Under),"Thursday-Assault With Deadly Weapon, Aggravated Assault",8,Wednesday-Shoplifting - Petty Theft ($950 & Under)
Thursday-Intimate Partner - Simple Assault,Friday-Trespassing,4,Thursday-Intimate Partner - Simple Assault
Thursday-Intimate Partner - Simple Assault,Friday-Shoplifting - Petty Theft ($950 & Under),14,Thursday-Intimate Partner - Simple Assault
Thursday-Child Annoying (17Yrs & Under),Friday-Theft Of Identity,3,Thursday-Child Annoying (17Yrs & Under)
Thursday-Child Annoying (17Yrs & Under),Friday-Trespassing,1,Thursday-Child Annoying (17Yrs & Under)
Thursday-Child Annoying (17Yrs & Under),Friday-Robbery,2,Thursday-Child Annoying (17Yrs & Under)
Thursday-Child Annoying (17Yrs & Under),Friday-Burglary,4,Thursday-Child Annoying (17Yrs & Under)
Thursday-Child Annoying (17Yrs & Under),Friday-Theft From Motor Vehicle - Petty ($950 & Under),4,Thursday-Child Annoying (17Yrs & Under)
