Source,Target,weight,Label
Thursday-Vandalism - Misdeameanor ($399 Or Under),Friday-Counterfeit,1,Thursday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Burglary From Vehicle,Friday-Counterfeit,1,Thursday-Burglary From Vehicle
Thursday-Stalking,Friday-Theft Of Identity,1,Thursday-Stalking
Thursday-Stalking,Friday-Counterfeit,1,Thursday-Stalking
Thursday-Stalking,Friday-Burglary,1,Thursday-Stalking
Thursday-Stalking,Friday-Theft Plain - Petty ($950 & Under),1,Thursday-Stalking
Thursday-Stalking,"Friday-Assault With Deadly Weapon, Aggravated Assault",1,Thursday-Stalking
Thursday-Stalking,Friday-Theft From Motor Vehicle - Petty ($950 & Under),1,Thursday-Stalking
Friday-Counterfeit,"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",1,Friday-Counterfeit
Friday-Counterfeit,Saturday-Brandish Weapon,1,Friday-Counterfeit
Friday-Counterfeit,Saturday-Vehicle - Stolen,1,Friday-Counterfeit
Friday-Theft From Motor Vehicle - Petty ($950 & Under),Saturday-Brandish Weapon,6,Friday-Theft From Motor Vehicle - Petty ($950 & Under)
"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,2,"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Sunday-Document Forgery / Stolen Felony,2,"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Sunday-Resisting Arrest,3,"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Sunday-Shoplifting - Petty Theft ($950 & Under),16,"Saturday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Saturday-Brandish Weapon,Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,1,Saturday-Brandish Weapon
Saturday-Brandish Weapon,Sunday-Document Forgery / Stolen Felony,2,Saturday-Brandish Weapon
Saturday-Brandish Weapon,Sunday-Vandalism - Misdeameanor ($399 Or Under),6,Saturday-Brandish Weapon
Saturday-Brandish Weapon,Sunday-Resisting Arrest,1,Saturday-Brandish Weapon
Saturday-Brandish Weapon,Sunday-Shoplifting - Petty Theft ($950 & Under),5,Saturday-Brandish Weapon
Saturday-Vehicle - Stolen,Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,3,Saturday-Vehicle - Stolen
Saturday-Vehicle - Stolen,Sunday-Resisting Arrest,7,Saturday-Vehicle - Stolen
"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,7,"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Sunday-Document Forgery / Stolen Felony,2,"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Sunday-Resisting Arrest,2,"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Monday-Burglary From Vehicle,5,Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Monday-Document Forgery / Stolen Felony,1,Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Sunday-Document Forgery / Stolen Felony,Monday-Document Forgery / Stolen Felony,2,Sunday-Document Forgery / Stolen Felony
Sunday-Vandalism - Misdeameanor ($399 Or Under),Monday-Document Forgery / Stolen Felony,10,Sunday-Vandalism - Misdeameanor ($399 Or Under)
Sunday-Resisting Arrest,Monday-Burglary From Vehicle,4,Sunday-Resisting Arrest
Sunday-Resisting Arrest,Monday-Document Forgery / Stolen Felony,1,Sunday-Resisting Arrest
Sunday-Intimate Partner - Simple Assault,Monday-Document Forgery / Stolen Felony,11,Sunday-Intimate Partner - Simple Assault
Sunday-Shoplifting - Petty Theft ($950 & Under),Monday-Document Forgery / Stolen Felony,4,Sunday-Shoplifting - Petty Theft ($950 & Under)
Sunday-Shoplifting - Petty Theft ($950 & Under),Monday-Battery - Simple Assault,36,Sunday-Shoplifting - Petty Theft ($950 & Under)
Sunday-Battery - Simple Assault,Monday-Document Forgery / Stolen Felony,8,Sunday-Battery - Simple Assault
Monday-Document Forgery / Stolen Felony,Tuesday-Violation Of Restraining Order,1,Monday-Document Forgery / Stolen Felony
Monday-Document Forgery / Stolen Felony,"Tuesday-Assault With Deadly Weapon, Aggravated Assault",8,Monday-Document Forgery / Stolen Felony
Monday-Document Forgery / Stolen Felony,"Tuesday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",9,Monday-Document Forgery / Stolen Felony
Tuesday-Violation Of Restraining Order,Wednesday-Intimate Partner - Simple Assault,1,Tuesday-Violation Of Restraining Order
Tuesday-Violation Of Restraining Order,Wednesday-Theft From Motor Vehicle - Petty ($950 & Under),4,Tuesday-Violation Of Restraining Order
Tuesday-Violation Of Restraining Order,Wednesday-Burglary From Vehicle,7,Tuesday-Violation Of Restraining Order
Wednesday-Criminal Threats - No Weapon Displayed,Thursday-Criminal Threats - No Weapon Displayed,7,Wednesday-Criminal Threats - No Weapon Displayed
Friday-Battery - Simple Assault,Saturday-Pickpocket,2,Friday-Battery - Simple Assault
Friday-Burglary,Saturday-Pickpocket,1,Friday-Burglary
Friday-Other Miscellaneous Crime,Saturday-Theft Of Identity,2,Friday-Other Miscellaneous Crime
Friday-Other Miscellaneous Crime,Saturday-Shots Fired At Inhabited Dwelling,1,Friday-Other Miscellaneous Crime
Friday-Other Miscellaneous Crime,Saturday-Pickpocket,1,Friday-Other Miscellaneous Crime
Friday-Other Miscellaneous Crime,Saturday-Vandalism - Misdeameanor ($399 Or Under),4,Friday-Other Miscellaneous Crime
Friday-Burglary From Vehicle,Saturday-Pickpocket,1,Friday-Burglary From Vehicle
Friday-Vehicle - Stolen,Saturday-Shots Fired At Inhabited Dwelling,2,Friday-Vehicle - Stolen
Friday-Vehicle - Stolen,Saturday-Pickpocket,2,Friday-Vehicle - Stolen
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",Saturday-Pickpocket,3,"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Saturday-Shots Fired At Inhabited Dwelling,"Sunday-Assault With Deadly Weapon, Aggravated Assault",2,Saturday-Shots Fired At Inhabited Dwelling
Saturday-Pickpocket,Sunday-Burglary From Vehicle,1,Saturday-Pickpocket
Saturday-Pickpocket,Sunday-Battery - Simple Assault,1,Saturday-Pickpocket
Saturday-Pickpocket,"Sunday-Assault With Deadly Weapon, Aggravated Assault",1,Saturday-Pickpocket
Saturday-Pickpocket,Sunday-Intimate Partner - Simple Assault,1,Saturday-Pickpocket
"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",Wednesday-Shoplifting - Petty Theft ($950 & Under),14,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Wednesday-Letters, Lewd",10,"Tuesday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Wednesday-Letters, Lewd",Thursday-Vehicle - Stolen,10,"Wednesday-Letters, Lewd"
"Wednesday-Letters, Lewd",Thursday-Theft Plain - Petty ($950 & Under),11,"Wednesday-Letters, Lewd"
Thursday-Theft Plain - Petty ($950 & Under),Friday-Violation Of Restraining Order,8,Thursday-Theft Plain - Petty ($950 & Under)
Friday-Violation Of Restraining Order,Saturday-Brandish Weapon,2,Friday-Violation Of Restraining Order
Friday-Violation Of Restraining Order,Saturday-Vandalism - Misdeameanor ($399 Or Under),2,Friday-Violation Of Restraining Order
Sunday-Vandalism - Misdeameanor ($399 Or Under),Monday-Theft Plain - Petty ($950 & Under),43,Sunday-Vandalism - Misdeameanor ($399 Or Under)
Monday-Theft Plain - Petty ($950 & Under),Tuesday-Assault With Deadly Weapon On Police Officer,1,Monday-Theft Plain - Petty ($950 & Under)
