Source,Target,weight
Pandering,"Embezzlement, Petty Theft ($950 & Under)",33
Pandering,Extortion,75
Pandering,Failure To Yield,10
Pandering,False Imprisonment,37
Pandering,False Police Report,11
Pandering,Grand Theft / Insurance Fraud,3
Pandering,Illegal Dumping,24
Pandering,Indecent Exposure,109
Pandering,Intimate Partner - Aggravated Assault,137
Pandering,Intimate Partner - Simple Assault,195
Pandering,Kidnapping,67
Pandering,Kidnapping - Grand Attempt,36
Pandering,"Letters, Lewd",192
Pandering,Lewd Conduct,49
Pandering,Lynching,1
Pandering,Oral Copulation,59
Pandering,Other Assault,66
Pandering,Other Miscellaneous Crime,195
Pandering,Pandering,14
Pandering,Peeping Tom,48
Pandering,Petty Theft - Auto Repair,1
Pandering,Pickpocket,24
Pandering,"Pickpocket, Attempt",1
Pandering,Pimping,27
Pandering,Prowler,48
Pandering,Purse Snatching,43
Pandering,Purse Snatching - Attempt,2
Pandering,"Rape, Attempted",49
Pandering,"Rape, Forcible",171
Pandering,Reckless Driving,5
Pandering,Resisting Arrest,97
Pandering,Robbery,195
Pandering,"Sex, Unlawful",100
Pandering,Sexual Pentration With A Foreign Object,69
Pandering,Shoplifting - Attempt,7
Pandering,Shoplifting - Petty Theft ($950 & Under),195
Pandering,Shoplifting-Grand Theft ($950.01 & Over),94
Pandering,Shots Fired At Inhabited Dwelling,86
Pandering,"Shots Fired At Moving Vehicle, Train Or Aircraft",12
Pandering,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,47
Pandering,Stalking,70
Pandering,Telephone Property - Damage,1
Pandering,Theft From Motor Vehicle - Attempt,48
Pandering,Theft From Motor Vehicle - Grand ($400 And Over),194
Pandering,Theft From Motor Vehicle - Petty ($950 & Under),195
Pandering,Theft From Person - Attempt,9
Pandering,Theft Of Identity,195
Pandering,Theft Plain - Attempt,64
Pandering,Theft Plain - Petty ($950 & Under),195
Pandering,"Theft, Coin Machine - Attempt",3
Pandering,"Theft, Coin Machine - Grand ($950.01 & Over)",1
Pandering,"Theft, Coin Machine - Petty ($950 & Under)",9
Pandering,"Theft, Person",187
Pandering,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",195
Pandering,Threatening Phone Calls/Letters,108
Pandering,Throwing Object At Moving Vehicle,64
Pandering,Till Tap - Grand Theft ($950.01 & Over),2
Pandering,Till Tap - Petty ($950 & Under),3
Pandering,Trespassing,190
Pandering,Unauthorized Computer Access,46
Pandering,Unknown,14
Pandering,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",195
Pandering,Vandalism - Misdeameanor ($399 Or Under),195
Pandering,Vehicle - Attempt Stolen,109
Pandering,Vehicle - Stolen,195
Pandering,Violation Of Court Order,189
Pandering,Violation Of Restraining Order,191
Pandering,Violation Of Temporary Restraining Order,47
Pandering,Weapons Possession/Bombing,9
Peeping Tom,Abortion/Illegal,2
Peeping Tom,Arson,458
Peeping Tom,Assault With Deadly Weapon On Police Officer,189
Peeping Tom,"Assault With Deadly Weapon, Aggravated Assault",880
Peeping Tom,Attempted Robbery,819
Peeping Tom,Battery - Simple Assault,880
Peeping Tom,Battery On A Firefighter,52
Peeping Tom,Battery Police (Simple),483
Peeping Tom,Battery With Sexual Contact,790
Peeping Tom,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",5
Peeping Tom,Bigamy,2
Peeping Tom,Bike - Attempted Stolen,9
Peeping Tom,Bike - Stolen,685
Peeping Tom,Blocking Door Induction Center,1
Peeping Tom,Boat - Stolen,47
Peeping Tom,Bomb Scare,188
Peeping Tom,Brandish Weapon,761
Peeping Tom,Bribery,8
Peeping Tom,"Bunco, Attempt",123
Peeping Tom,"Bunco, Grand Theft",627
Peeping Tom,"Bunco, Petty Theft",486
Peeping Tom,Burglary,879
Peeping Tom,Burglary From Vehicle,880
Peeping Tom,"Burglary From Vehicle, Attempted",445
Peeping Tom,"Burglary, Attempted",837
Peeping Tom,Child Abandonment,18
Peeping Tom,Child Abuse (Physical) - Aggravated Assault,261
Peeping Tom,Child Abuse (Physical) - Simple Assault,729
Peeping Tom,Child Annoying (17Yrs & Under),542
Peeping Tom,Child Neglect (See 300 W.I.C.),584
Peeping Tom,Child Stealing,206
Peeping Tom,Conspiracy,13
Peeping Tom,Contempt Of Court,312
Peeping Tom,Contributing,39
Peeping Tom,Counterfeit,165
Peeping Tom,"Credit Cards, Fraud Use ($950 & Under",46
Peeping Tom,"Credit Cards, Fraud Use ($950.01 & Over)",162
Peeping Tom,Criminal Homicide,405
Peeping Tom,Criminal Threats - No Weapon Displayed,879
Peeping Tom,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,591
Peeping Tom,Cruelty To Animals,262
Peeping Tom,"Defrauding Innkeeper/Theft Of Services, $400 & Under",338
Peeping Tom,"Defrauding Innkeeper/Theft Of Services, Over $400",41
Peeping Tom,Discharge Firearms/Shots Fired,475
Peeping Tom,Dishonest Employee - Grand Theft,39
Peeping Tom,Dishonest Employee - Petty Theft,21
Peeping Tom,Dishonest Employee Attempted Theft,2
Peeping Tom,Disrupt School,10
Peeping Tom,Disturbing The Peace,477
Peeping Tom,Document Forgery / Stolen Felony,868
Peeping Tom,Document Worthless ($200 & Under),10
Peeping Tom,Document Worthless ($200.01 & Over),69
Peeping Tom,Driving Without Owner Consent (Dwoc),92
Peeping Tom,"Drugs, To A Minor",6
Peeping Tom,Drunk Roll,7
Peeping Tom,"Embezzlement, Grand Theft ($950.01 & Over)",711
Peeping Tom,"Embezzlement, Petty Theft ($950 & Under)",113
Peeping Tom,Extortion,329
Peeping Tom,Failure To Disperse,5
Peeping Tom,Failure To Yield,61
Peeping Tom,False Imprisonment,169
Peeping Tom,False Police Report,90
Peeping Tom,Grand Theft / Auto Repair,1
Peeping Tom,Grand Theft / Insurance Fraud,12
Peeping Tom,Illegal Dumping,106
Peeping Tom,Incest (Sexual Acts Between Blood Relatives),2
Peeping Tom,Inciting A Riot,4
Peeping Tom,Indecent Exposure,469
Peeping Tom,Intimate Partner - Aggravated Assault,633
Peeping Tom,Intimate Partner - Simple Assault,880
Peeping Tom,Kidnapping,324
Peeping Tom,Kidnapping - Grand Attempt,127
Peeping Tom,"Letters, Lewd",871
Peeping Tom,Lewd Conduct,199
Peeping Tom,Lynching,12
Peeping Tom,Lynching - Attempted,4
Peeping Tom,Oral Copulation,262
Peeping Tom,Other Assault,314
Peeping Tom,Other Miscellaneous Crime,867
Peeping Tom,Pandering,47
Peeping Tom,Peeping Tom,221
Peeping Tom,Petty Theft - Auto Repair,3
Peeping Tom,Pickpocket,130
Peeping Tom,"Pickpocket, Attempt",1
Peeping Tom,Pimping,108
Peeping Tom,Prowler,171
Peeping Tom,Purse Snatching,224
Peeping Tom,Purse Snatching - Attempt,8
Peeping Tom,"Rape, Attempted",204
Peeping Tom,"Rape, Forcible",769
Peeping Tom,Reckless Driving,42
Peeping Tom,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",8
Peeping Tom,Resisting Arrest,433
Peeping Tom,Robbery,880
Peeping Tom,"Sex, Unlawful",410
Peeping Tom,Sexual Pentration With A Foreign Object,302
Peeping Tom,Shoplifting - Attempt,43
Peeping Tom,Shoplifting - Petty Theft ($950 & Under),879
Peeping Tom,Shoplifting-Grand Theft ($950.01 & Over),459
Peeping Tom,Shots Fired At Inhabited Dwelling,366
Peeping Tom,"Shots Fired At Moving Vehicle, Train Or Aircraft",43
Peeping Tom,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,212
Peeping Tom,Stalking,298
Peeping Tom,Telephone Property - Damage,6
Peeping Tom,Theft From Motor Vehicle - Attempt,206
Peeping Tom,Theft From Motor Vehicle - Grand ($400 And Over),877
Peeping Tom,Theft From Motor Vehicle - Petty ($950 & Under),880
Peeping Tom,Theft From Person - Attempt,51
Peeping Tom,Theft Of Identity,879
Peeping Tom,Theft Plain - Attempt,287
Peeping Tom,Theft Plain - Petty ($950 & Under),880
Peeping Tom,"Theft, Coin Machine - Attempt",6
Peeping Tom,"Theft, Coin Machine - Grand ($950.01 & Over)",11
Peeping Tom,"Theft, Coin Machine - Petty ($950 & Under)",34
Peeping Tom,"Theft, Person",830
Peeping Tom,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",879
Peeping Tom,Threatening Phone Calls/Letters,467
Peeping Tom,Throwing Object At Moving Vehicle,245
Peeping Tom,Till Tap - Grand Theft ($950.01 & Over),2
Peeping Tom,Till Tap - Petty ($950 & Under),17
Peeping Tom,Trespassing,863
Peeping Tom,Unauthorized Computer Access,224
Peeping Tom,Unknown,85
Peeping Tom,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",879
Peeping Tom,Vandalism - Misdeameanor ($399 Or Under),880
Peeping Tom,Vehicle - Attempt Stolen,469
Peeping Tom,Vehicle - Stolen,880
Peeping Tom,Violation Of Court Order,857
Peeping Tom,Violation Of Restraining Order,860
Peeping Tom,Violation Of Temporary Restraining Order,213
Peeping Tom,Weapons Possession/Bombing,32
Petty Theft - Auto Repair,Arson,12
Petty Theft - Auto Repair,Assault With Deadly Weapon On Police Officer,5
Petty Theft - Auto Repair,"Assault With Deadly Weapon, Aggravated Assault",19
Petty Theft - Auto Repair,Attempted Robbery,18
Petty Theft - Auto Repair,Battery - Simple Assault,19
Petty Theft - Auto Repair,Battery On A Firefighter,1
Petty Theft - Auto Repair,Battery Police (Simple),15
Petty Theft - Auto Repair,Battery With Sexual Contact,19
Petty Theft - Auto Repair,Bike - Stolen,13
Petty Theft - Auto Repair,Boat - Stolen,2
Petty Theft - Auto Repair,Bomb Scare,4
Petty Theft - Auto Repair,Brandish Weapon,18
Petty Theft - Auto Repair,"Bunco, Attempt",4
Petty Theft - Auto Repair,"Bunco, Grand Theft",15
Petty Theft - Auto Repair,"Bunco, Petty Theft",11
Petty Theft - Auto Repair,Burglary,19
Petty Theft - Auto Repair,Burglary From Vehicle,19
Petty Theft - Auto Repair,"Burglary From Vehicle, Attempted",11
Petty Theft - Auto Repair,"Burglary, Attempted",19
Petty Theft - Auto Repair,Child Abuse (Physical) - Aggravated Assault,10
Petty Theft - Auto Repair,Child Abuse (Physical) - Simple Assault,16
Petty Theft - Auto Repair,Child Annoying (17Yrs & Under),14
Petty Theft - Auto Repair,Child Neglect (See 300 W.I.C.),12
Petty Theft - Auto Repair,Child Stealing,4
Petty Theft - Auto Repair,Conspiracy,1
Petty Theft - Auto Repair,Contempt Of Court,6
Petty Theft - Auto Repair,Contributing,1
Petty Theft - Auto Repair,Counterfeit,2
Petty Theft - Auto Repair,"Credit Cards, Fraud Use ($950.01 & Over)",6
Petty Theft - Auto Repair,Criminal Homicide,10
Petty Theft - Auto Repair,Criminal Threats - No Weapon Displayed,19
Petty Theft - Auto Repair,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,14
Petty Theft - Auto Repair,Cruelty To Animals,3
Petty Theft - Auto Repair,"Defrauding Innkeeper/Theft Of Services, $400 & Under",10
Petty Theft - Auto Repair,"Defrauding Innkeeper/Theft Of Services, Over $400",2
Petty Theft - Auto Repair,Discharge Firearms/Shots Fired,10
Petty Theft - Auto Repair,Dishonest Employee - Petty Theft,1
Petty Theft - Auto Repair,Disturbing The Peace,13
Petty Theft - Auto Repair,Document Forgery / Stolen Felony,19
Petty Theft - Auto Repair,Document Worthless ($200.01 & Over),1
Petty Theft - Auto Repair,Driving Without Owner Consent (Dwoc),1
Petty Theft - Auto Repair,"Embezzlement, Grand Theft ($950.01 & Over)",17
Petty Theft - Auto Repair,"Embezzlement, Petty Theft ($950 & Under)",3
Petty Theft - Auto Repair,Extortion,6
Petty Theft - Auto Repair,False Imprisonment,1
Petty Theft - Auto Repair,False Police Report,3
Petty Theft - Auto Repair,Grand Theft / Insurance Fraud,1
Petty Theft - Auto Repair,Illegal Dumping,3
Petty Theft - Auto Repair,Indecent Exposure,12
Petty Theft - Auto Repair,Intimate Partner - Aggravated Assault,13
Petty Theft - Auto Repair,Intimate Partner - Simple Assault,19
Petty Theft - Auto Repair,Kidnapping,9
Petty Theft - Auto Repair,Kidnapping - Grand Attempt,5
Petty Theft - Auto Repair,"Letters, Lewd",19
Petty Theft - Auto Repair,Lewd Conduct,6
Petty Theft - Auto Repair,Oral Copulation,8
Petty Theft - Auto Repair,Other Assault,6
Petty Theft - Auto Repair,Other Miscellaneous Crime,19
Petty Theft - Auto Repair,Pandering,1
Petty Theft - Auto Repair,Peeping Tom,3
Petty Theft - Auto Repair,Pickpocket,2
Petty Theft - Auto Repair,Pimping,2
Petty Theft - Auto Repair,Prowler,3
Petty Theft - Auto Repair,Purse Snatching,4
Petty Theft - Auto Repair,"Rape, Attempted",3
Petty Theft - Auto Repair,"Rape, Forcible",17
Petty Theft - Auto Repair,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",1
Petty Theft - Auto Repair,Resisting Arrest,10
Petty Theft - Auto Repair,Robbery,19
Petty Theft - Auto Repair,"Sex, Unlawful",12
Petty Theft - Auto Repair,Sexual Pentration With A Foreign Object,6
Petty Theft - Auto Repair,Shoplifting - Petty Theft ($950 & Under),19
Petty Theft - Auto Repair,Shoplifting-Grand Theft ($950.01 & Over),7
Petty Theft - Auto Repair,Shots Fired At Inhabited Dwelling,9
Petty Theft - Auto Repair,"Shots Fired At Moving Vehicle, Train Or Aircraft",1
Petty Theft - Auto Repair,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,4
Petty Theft - Auto Repair,Stalking,6
Petty Theft - Auto Repair,Theft From Motor Vehicle - Attempt,3
Petty Theft - Auto Repair,Theft From Motor Vehicle - Grand ($400 And Over),19
Petty Theft - Auto Repair,Theft From Motor Vehicle - Petty ($950 & Under),19
Petty Theft - Auto Repair,Theft Of Identity,19
Petty Theft - Auto Repair,Theft Plain - Attempt,9
Petty Theft - Auto Repair,Theft Plain - Petty ($950 & Under),19
Petty Theft - Auto Repair,"Theft, Person",19
Petty Theft - Auto Repair,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",19
Petty Theft - Auto Repair,Threatening Phone Calls/Letters,11
Petty Theft - Auto Repair,Throwing Object At Moving Vehicle,5
Petty Theft - Auto Repair,Till Tap - Petty ($950 & Under),1
Petty Theft - Auto Repair,Trespassing,19
Petty Theft - Auto Repair,Unauthorized Computer Access,4
Petty Theft - Auto Repair,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",19
Petty Theft - Auto Repair,Vandalism - Misdeameanor ($399 Or Under),19
Petty Theft - Auto Repair,Vehicle - Attempt Stolen,11
Petty Theft - Auto Repair,Vehicle - Stolen,19
Petty Theft - Auto Repair,Violation Of Court Order,19
Petty Theft - Auto Repair,Violation Of Restraining Order,19
Petty Theft - Auto Repair,Violation Of Temporary Restraining Order,8
Petty Theft - Auto Repair,Weapons Possession/Bombing,2
Pickpocket,Arson,290
Pickpocket,Assault With Deadly Weapon On Police Officer,140
Pickpocket,"Assault With Deadly Weapon, Aggravated Assault",565
Pickpocket,Attempted Robbery,532
Pickpocket,Battery - Simple Assault,565
Pickpocket,Battery On A Firefighter,41
Pickpocket,Battery Police (Simple),333
Pickpocket,Battery With Sexual Contact,523
Pickpocket,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",2
Pickpocket,Bike - Attempted Stolen,10
Pickpocket,Bike - Stolen,501
Pickpocket,Blocking Door Induction Center,1
Pickpocket,Boat - Stolen,29
Pickpocket,Bomb Scare,118
Pickpocket,Brandish Weapon,523
Pickpocket,Bribery,5
Pickpocket,"Bunco, Attempt",80
Pickpocket,"Bunco, Grand Theft",414
Pickpocket,"Bunco, Petty Theft",378
Pickpocket,Burglary,565
Pickpocket,Burglary From Vehicle,565
Pickpocket,"Burglary From Vehicle, Attempted",256
Pickpocket,"Burglary, Attempted",537
Pickpocket,Child Abandonment,11
Pickpocket,Child Abuse (Physical) - Aggravated Assault,161
Pickpocket,Child Abuse (Physical) - Simple Assault,469
Pickpocket,Child Annoying (17Yrs & Under),330
Pickpocket,Child Neglect (See 300 W.I.C.),327
Pickpocket,Child Stealing,120
Pickpocket,Conspiracy,12
Pickpocket,Contempt Of Court,328
Pickpocket,Contributing,24
Pickpocket,Counterfeit,87
Pickpocket,"Credit Cards, Fraud Use ($950 & Under",40
Pickpocket,"Credit Cards, Fraud Use ($950.01 & Over)",93
Pickpocket,Criminal Homicide,265
Pickpocket,Criminal Threats - No Weapon Displayed,565
Pickpocket,Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,373
Pickpocket,Cruelty To Animals,132
Pickpocket,"Defrauding Innkeeper/Theft Of Services, $400 & Under",220
Pickpocket,"Defrauding Innkeeper/Theft Of Services, Over $400",33
Pickpocket,Discharge Firearms/Shots Fired,328
Pickpocket,Dishonest Employee - Grand Theft,30
Pickpocket,Dishonest Employee - Petty Theft,18
Pickpocket,Dishonest Employee Attempted Theft,2
Pickpocket,Disrupt School,7
Pickpocket,Disturbing The Peace,326
Pickpocket,Document Forgery / Stolen Felony,544
Pickpocket,Document Worthless ($200 & Under),6
Pickpocket,Document Worthless ($200.01 & Over),40
Pickpocket,Driving Without Owner Consent (Dwoc),69
Pickpocket,"Drugs, To A Minor",6
Pickpocket,Drunk Roll,6
Pickpocket,"Embezzlement, Grand Theft ($950.01 & Over)",452
Pickpocket,"Embezzlement, Petty Theft ($950 & Under)",74
Pickpocket,Extortion,238
Pickpocket,Failure To Yield,56
Pickpocket,False Imprisonment,103
Pickpocket,False Police Report,42
Pickpocket,Grand Theft / Auto Repair,1
Pickpocket,Grand Theft / Insurance Fraud,7
Pickpocket,Illegal Dumping,53
Pickpocket,Incest (Sexual Acts Between Blood Relatives),2
Pickpocket,Inciting A Riot,2
Pickpocket,Indecent Exposure,293
Pickpocket,Intimate Partner - Aggravated Assault,497
Pickpocket,Intimate Partner - Simple Assault,565
Pickpocket,Kidnapping,204
Pickpocket,Kidnapping - Grand Attempt,72
Pickpocket,"Letters, Lewd",549
Pickpocket,Lewd Conduct,139
Pickpocket,Lynching,1
Pickpocket,Lynching - Attempted,4
Pickpocket,"Manslaughter, Negligent",1
Pickpocket,Oral Copulation,183
Pickpocket,Other Assault,263
Pickpocket,Other Miscellaneous Crime,555
Pickpocket,Pandering,28
Pickpocket,Peeping Tom,120
Pickpocket,Petty Theft - Auto Repair,7
Pickpocket,Pickpocket,136
Pickpocket,"Pickpocket, Attempt",2
Pickpocket,Pimping,65
Pickpocket,Prowler,96
Pickpocket,Purse Snatching,148
Pickpocket,Purse Snatching - Attempt,9
Pickpocket,"Rape, Attempted",134
Pickpocket,"Rape, Forcible",509
Pickpocket,Reckless Driving,30
Pickpocket,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",3
Pickpocket,Resisting Arrest,273
Pickpocket,Robbery,565
Pickpocket,"Sex, Unlawful",271
Pickpocket,Sexual Pentration With A Foreign Object,248
Pickpocket,Shoplifting - Attempt,26
Pickpocket,Shoplifting - Petty Theft ($950 & Under),565
Pickpocket,Shoplifting-Grand Theft ($950.01 & Over),351
Pickpocket,Shots Fired At Inhabited Dwelling,244
Pickpocket,"Shots Fired At Moving Vehicle, Train Or Aircraft",44
Pickpocket,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,161
Pickpocket,Stalking,185
Pickpocket,Telephone Property - Damage,4
Pickpocket,Theft From Motor Vehicle - Attempt,156
Pickpocket,Theft From Motor Vehicle - Grand ($400 And Over),564
Pickpocket,Theft From Motor Vehicle - Petty ($950 & Under),565
Pickpocket,Theft From Person - Attempt,38
Pickpocket,Theft Of Identity,565
Pickpocket,Theft Plain - Attempt,162
Pickpocket,Theft Plain - Petty ($950 & Under),565
Pickpocket,"Theft, Coin Machine - Attempt",4
Pickpocket,"Theft, Coin Machine - Grand ($950.01 & Over)",3
Pickpocket,"Theft, Coin Machine - Petty ($950 & Under)",25
Pickpocket,"Theft, Person",531
Pickpocket,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",565
Pickpocket,Threatening Phone Calls/Letters,283
Pickpocket,Throwing Object At Moving Vehicle,170
Pickpocket,Till Tap - Grand Theft ($950.01 & Over),4
Pickpocket,Till Tap - Petty ($950 & Under),16
Pickpocket,Trespassing,556
Pickpocket,Unauthorized Computer Access,146
Pickpocket,Unknown,99
Pickpocket,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",565
Pickpocket,Vandalism - Misdeameanor ($399 Or Under),565
Pickpocket,Vehicle - Attempt Stolen,310
Pickpocket,Vehicle - Stolen,565
Pickpocket,Violation Of Court Order,545
Pickpocket,Violation Of Restraining Order,555
Pickpocket,Violation Of Temporary Restraining Order,186
Pickpocket,Weapons Possession/Bombing,21
"Pickpocket, Attempt",Arson,8
"Pickpocket, Attempt",Assault With Deadly Weapon On Police Officer,3
"Pickpocket, Attempt","Assault With Deadly Weapon, Aggravated Assault",15
"Pickpocket, Attempt",Attempted Robbery,15
"Pickpocket, Attempt",Battery - Simple Assault,15
"Pickpocket, Attempt",Battery On A Firefighter,1
"Pickpocket, Attempt",Battery Police (Simple),11
"Pickpocket, Attempt",Battery With Sexual Contact,14
"Pickpocket, Attempt",Bike - Stolen,15
"Pickpocket, Attempt",Bomb Scare,3
"Pickpocket, Attempt",Brandish Weapon,15
"Pickpocket, Attempt","Bunco, Attempt",5
"Pickpocket, Attempt","Bunco, Grand Theft",15
"Pickpocket, Attempt","Bunco, Petty Theft",13
"Pickpocket, Attempt",Burglary,15
"Pickpocket, Attempt",Burglary From Vehicle,15
"Pickpocket, Attempt","Burglary From Vehicle, Attempted",8
"Pickpocket, Attempt","Burglary, Attempted",14
"Pickpocket, Attempt",Child Abandonment,1
"Pickpocket, Attempt",Child Abuse (Physical) - Aggravated Assault,1
"Pickpocket, Attempt",Child Abuse (Physical) - Simple Assault,13
"Pickpocket, Attempt",Child Annoying (17Yrs & Under),10
"Pickpocket, Attempt",Child Neglect (See 300 W.I.C.),11
"Pickpocket, Attempt",Child Stealing,2
"Pickpocket, Attempt",Contempt Of Court,12
"Pickpocket, Attempt",Counterfeit,2
"Pickpocket, Attempt","Credit Cards, Fraud Use ($950 & Under",3
"Pickpocket, Attempt","Credit Cards, Fraud Use ($950.01 & Over)",3
"Pickpocket, Attempt",Criminal Homicide,9
"Pickpocket, Attempt",Criminal Threats - No Weapon Displayed,15
"Pickpocket, Attempt",Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,10
"Pickpocket, Attempt",Cruelty To Animals,7
"Pickpocket, Attempt","Defrauding Innkeeper/Theft Of Services, $400 & Under",8
"Pickpocket, Attempt","Defrauding Innkeeper/Theft Of Services, Over $400",1
"Pickpocket, Attempt",Discharge Firearms/Shots Fired,12
"Pickpocket, Attempt",Dishonest Employee - Grand Theft,2
"Pickpocket, Attempt",Dishonest Employee - Petty Theft,1
"Pickpocket, Attempt",Disrupt School,1
"Pickpocket, Attempt",Disturbing The Peace,9
"Pickpocket, Attempt",Document Forgery / Stolen Felony,14
"Pickpocket, Attempt",Driving Without Owner Consent (Dwoc),3
"Pickpocket, Attempt",Drunk Roll,1
"Pickpocket, Attempt","Embezzlement, Grand Theft ($950.01 & Over)",13
"Pickpocket, Attempt","Embezzlement, Petty Theft ($950 & Under)",1
"Pickpocket, Attempt",Extortion,6
"Pickpocket, Attempt",Failure To Yield,1
"Pickpocket, Attempt",False Imprisonment,2
"Pickpocket, Attempt",False Police Report,3
"Pickpocket, Attempt",Illegal Dumping,1
"Pickpocket, Attempt",Indecent Exposure,12
"Pickpocket, Attempt",Intimate Partner - Aggravated Assault,15
"Pickpocket, Attempt",Intimate Partner - Simple Assault,15
"Pickpocket, Attempt",Kidnapping,3
"Pickpocket, Attempt",Kidnapping - Grand Attempt,5
"Pickpocket, Attempt","Letters, Lewd",15
"Pickpocket, Attempt",Lewd Conduct,4
"Pickpocket, Attempt",Oral Copulation,3
"Pickpocket, Attempt",Other Assault,5
"Pickpocket, Attempt",Other Miscellaneous Crime,14
"Pickpocket, Attempt",Pandering,1
"Pickpocket, Attempt",Peeping Tom,4
"Pickpocket, Attempt",Petty Theft - Auto Repair,1
"Pickpocket, Attempt",Pickpocket,5
"Pickpocket, Attempt",Pimping,1
"Pickpocket, Attempt",Prowler,4
"Pickpocket, Attempt",Purse Snatching,8
"Pickpocket, Attempt","Rape, Attempted",2
"Pickpocket, Attempt","Rape, Forcible",15
"Pickpocket, Attempt",Reckless Driving,1
"Pickpocket, Attempt",Resisting Arrest,7
"Pickpocket, Attempt",Robbery,15
"Pickpocket, Attempt","Sex, Unlawful",8
"Pickpocket, Attempt",Sexual Pentration With A Foreign Object,10
"Pickpocket, Attempt",Shoplifting - Attempt,1
"Pickpocket, Attempt",Shoplifting - Petty Theft ($950 & Under),15
"Pickpocket, Attempt",Shoplifting-Grand Theft ($950.01 & Over),10
"Pickpocket, Attempt",Shots Fired At Inhabited Dwelling,8
"Pickpocket, Attempt","Shots Fired At Moving Vehicle, Train Or Aircraft",3
"Pickpocket, Attempt",Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,3
"Pickpocket, Attempt",Stalking,8
"Pickpocket, Attempt",Theft From Motor Vehicle - Attempt,5
"Pickpocket, Attempt",Theft From Motor Vehicle - Grand ($400 And Over),15
"Pickpocket, Attempt",Theft From Motor Vehicle - Petty ($950 & Under),15
"Pickpocket, Attempt",Theft From Person - Attempt,2
"Pickpocket, Attempt",Theft Of Identity,15
"Pickpocket, Attempt",Theft Plain - Attempt,8
"Pickpocket, Attempt",Theft Plain - Petty ($950 & Under),15
"Pickpocket, Attempt","Theft, Coin Machine - Grand ($950.01 & Over)",1
"Pickpocket, Attempt","Theft, Coin Machine - Petty ($950 & Under)",1
"Pickpocket, Attempt","Theft, Person",15
"Pickpocket, Attempt","Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",15
"Pickpocket, Attempt",Threatening Phone Calls/Letters,8
"Pickpocket, Attempt",Throwing Object At Moving Vehicle,6
"Pickpocket, Attempt",Trespassing,15
"Pickpocket, Attempt",Unauthorized Computer Access,6
"Pickpocket, Attempt",Unknown,4
"Pickpocket, Attempt","Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",15
"Pickpocket, Attempt",Vandalism - Misdeameanor ($399 Or Under),15
"Pickpocket, Attempt",Vehicle - Attempt Stolen,13
"Pickpocket, Attempt",Vehicle - Stolen,15
"Pickpocket, Attempt",Violation Of Court Order,15
"Pickpocket, Attempt",Violation Of Restraining Order,15
"Pickpocket, Attempt",Violation Of Temporary Restraining Order,7
Pimping,Arson,212
Pimping,Assault With Deadly Weapon On Police Officer,88
Pimping,"Assault With Deadly Weapon, Aggravated Assault",413
Pimping,Attempted Robbery,382
Pimping,Battery - Simple Assault,413
Pimping,Battery On A Firefighter,25
Pimping,Battery Police (Simple),195
Pimping,Battery With Sexual Contact,338
Pimping,"Beastiality, Crime Against Nature Sexual Asslt With Anim0065",1
Pimping,Bigamy,2
Pimping,Bike - Attempted Stolen,1
Pimping,Bike - Stolen,319
Pimping,Blocking Door Induction Center,1
Pimping,Boat - Stolen,22
Pimping,Bomb Scare,90
Pimping,Brandish Weapon,338
Pimping,Bribery,5
Pimping,"Bunco, Attempt",44
Pimping,"Bunco, Grand Theft",260
Pimping,"Bunco, Petty Theft",219
Pimping,Burglary,413
Pimping,Burglary From Vehicle,413
Pimping,"Burglary From Vehicle, Attempted",180
Pimping,"Burglary, Attempted",374
Pimping,Child Abandonment,13
Pimping,Child Abuse (Physical) - Aggravated Assault,105
Pimping,Child Abuse (Physical) - Simple Assault,324
