Source,Target,weight
Assault With Deadly Weapon On Police Officer,"Replica Firearms(Sale,Display,Manufacture Or Distribute)0132",4
Assault With Deadly Weapon On Police Officer,Resisting Arrest,455
Assault With Deadly Weapon On Police Officer,Robbery,1258
Assault With Deadly Weapon On Police Officer,"Sex, Unlawful",443
Assault With Deadly Weapon On Police Officer,Sexual Pentration With A Foreign Object,319
Assault With Deadly Weapon On Police Officer,Shoplifting - Attempt,41
Assault With Deadly Weapon On Police Officer,Shoplifting - Petty Theft ($950 & Under),1243
Assault With Deadly Weapon On Police Officer,Shoplifting-Grand Theft ($950.01 & Over),516
Assault With Deadly Weapon On Police Officer,Shots Fired At Inhabited Dwelling,393
Assault With Deadly Weapon On Police Officer,"Shots Fired At Moving Vehicle, Train Or Aircraft",40
Assault With Deadly Weapon On Police Officer,Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,243
Assault With Deadly Weapon On Police Officer,Stalking,309
Assault With Deadly Weapon On Police Officer,Telephone Property - Damage,4
Assault With Deadly Weapon On Police Officer,Theft From Motor Vehicle - Attempt,209
Assault With Deadly Weapon On Police Officer,Theft From Motor Vehicle - Grand ($400 And Over),1217
Assault With Deadly Weapon On Police Officer,Theft From Motor Vehicle - Petty ($950 & Under),1256
Assault With Deadly Weapon On Police Officer,Theft From Person - Attempt,48
Assault With Deadly Weapon On Police Officer,Theft Of Identity,1258
Assault With Deadly Weapon On Police Officer,Theft Plain - Attempt,279
Assault With Deadly Weapon On Police Officer,Theft Plain - Petty ($950 & Under),1258
Assault With Deadly Weapon On Police Officer,"Theft, Coin Machine - Attempt",4
Assault With Deadly Weapon On Police Officer,"Theft, Coin Machine - Grand ($950.01 & Over)",11
Assault With Deadly Weapon On Police Officer,"Theft, Coin Machine - Petty ($950 & Under)",43
Assault With Deadly Weapon On Police Officer,"Theft, Person",1058
Assault With Deadly Weapon On Police Officer,"Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036",1256
Assault With Deadly Weapon On Police Officer,Threatening Phone Calls/Letters,469
Assault With Deadly Weapon On Police Officer,Throwing Object At Moving Vehicle,246
Assault With Deadly Weapon On Police Officer,Till Tap - Attempt,1
Assault With Deadly Weapon On Police Officer,Till Tap - Grand Theft ($950.01 & Over),2
Assault With Deadly Weapon On Police Officer,Till Tap - Petty ($950 & Under),20
Assault With Deadly Weapon On Police Officer,Trespassing,1135
Assault With Deadly Weapon On Police Officer,Unauthorized Computer Access,221
Assault With Deadly Weapon On Police Officer,Unknown,81
Assault With Deadly Weapon On Police Officer,"Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114",1258
Assault With Deadly Weapon On Police Officer,Vandalism - Misdeameanor ($399 Or Under),1258
Assault With Deadly Weapon On Police Officer,Vehicle - Attempt Stolen,477
Assault With Deadly Weapon On Police Officer,Vehicle - Stolen,1258
Assault With Deadly Weapon On Police Officer,Violation Of Court Order,1158
Assault With Deadly Weapon On Police Officer,Violation Of Restraining Order,1124
Assault With Deadly Weapon On Police Officer,Violation Of Temporary Restraining Order,221
Assault With Deadly Weapon On Police Officer,Weapons Possession/Bombing,24
"Assault With Deadly Weapon, Aggravated Assault",Abortion/Illegal,3
"Assault With Deadly Weapon, Aggravated Assault",Arson,2627
"Assault With Deadly Weapon, Aggravated Assault",Assault With Deadly Weapon On Police Officer,1258
"Assault With Deadly Weapon, Aggravated Assault","Assault With Deadly Weapon, Aggravated Assault",57523
"Assault With Deadly Weapon, Aggravated Assault",Attempted Robbery,9004
"Assault With Deadly Weapon, Aggravated Assault",Battery - Simple Assault,67426
"Assault With Deadly Weapon, Aggravated Assault",Battery On A Firefighter,223
"Assault With Deadly Weapon, Aggravated Assault",Battery Police (Simple),3449
"Assault With Deadly Weapon, Aggravated Assault",Battery With Sexual Contact,8032
"Assault With Deadly Weapon, Aggravated Assault","Beastiality, Crime Against Nature Sexual Asslt With Anim0065",19
"Assault With Deadly Weapon, Aggravated Assault",Bigamy,10
